text,occurrence
hello,29
judgement,29
paris,29
miller,29
visited,29
breaking,29
competition,29
certificate,29
jealous,29
expensive,29
campaigning,29
likes,29
industry,29
skills,29
changing,29
thehill,29
msvivicafox,29
officially,29
gotten,29
brings,29
phoenix,29
kenya,29
wasted,29
design,29
greater,29
bankruptcy,29
road,29
rose,29
japan,29
arabia,29
attorney,29
april,29
beating,29
concerned,29
example,29
merry,29
cadillacchamp,29
msm,29
peace,29
laugh,29
direction,29
requires,29
raising,29
prove,29
sound,29
shut,29
plane,29
penalty,29
tiger,29
battle,29
interviews,29
fundanything,28
driving,28
nypost,28
form,28
kevinjonas,28
cities,28
bird,28
responsible,28
u25yi5t7e8,28
stayed,28
marine,28
pennjillette,28
sucks,28
france,28
possibly,28
apart,28
values,28
forced,28
marklevinshow,28
penn,28
tennessee,28
walker,28
wishing,28
education,28
piers,28
memorial,28
lowest,28
deserve,28
present,28
pols,28
lol,28
cutting,28
jack,28
promised,28
wild,28
legend,28
inspiring,28
ally,28
officials,28
andy,28
trumppence16,28
incompetence,28
pervert,28
cbsnews,28
nydailynews,28
citizens,28
finale,28
commander,28
supports,28
voice,28
talented,28
youtube,28
caucus,28
excuse,28
moscow,28
democratic,27
accept,27
access,27
vpdebate,27
rising,27
condolences,27
kick,27
oval,27
diamond,27
share,27
witch,27
forever,27
pastor,27
skyline,27
explain,27
foxbusiness,27
boy,27
protecting,27
marcorubio,27
land,27
goofy,27
drive,27
roberts,27
sternshow,27
prior,27
jeff,27
nominee,27
round,27
instincts,27
hasn,27
donors,27
necessary,27
learned,27
original,27
nights,27
remarks,27
july,27
falling,27
lawsuit,27
trial,26
dr,26
paper,26
dont,26
franklin,26
rallies,26
blew,26
blow,26
allowing,26
begins,26
series,26
caused,26
greatness,26
buffalobills,26
schedule,26
dumbest,26
trumpferrypoint,26
email,26
strongly,26
busy,26
refused,26
jeter,26
pays,26
absolute,26
answers,26
macmiller,26
age,26
megyn,26
cash,26
stands,26
effective,26
fools,26
meetthepress,26
appreciated,26
led,26
honestly,26
coal,26
larry,26
sec,26
sen,26
australia,26
famous,26
patriot,26
masterpiece,26
scam,26
strategy,26
joenbc,26
anthem,26
area,26
hitting,26
copies,26
selling,26
parents,26
firing,26
jeffrey,26
hannity,26
30pm,26
increases,26
scared,26
baby,25
base,25
hunt,25
scary,25
negotiations,25
syrian,25
supported,25
turning,25
movie,25
timing,25
golden,25
test,25
liked,25
gain,25
rand,25
annual,25
wrote,25
constantly,25
september,25
wrestlemania,25
represent,25
navy,25
danamira,25
begin,25
weather,25
honesty,25
die,25
kaine,25
lawyer,25
vancouver,25
considered,25
restore,25
reuters,25
sector,25
throughout,25
ryan,25
danger,25
netanyahu,25
planet,25
position,25
helped,25
pinehurst,25
sgt,25
ten,25
gorgeous,25
stars,25
ricksantorum,25
spring,25
usual,25
audience,25
yrs,25
speaker,25
choose,25
clown,25
8pm,25
child,25
process,25
itself,25
register,25
result,24
worried,24
planned,24
contest,24
ms,24
elections,24
praying,24
collusion,24
nbcsnl,24
debates2016,24
rebels,24
product,24
above,24
late_show,24
receive,24
phone,24
personal,24
ballot,24
pipeline,24
empire,24
weekly,24
union,24
taxpayers,24
twice,24
featuring,24
jimmyfallon,24
sandy,24
legendary,24
consumer,24
ceremony,24
sarahpalinusa,24
dining,24
girl,24
vincemcmahon,24
designed,24
groups,24
prison,24
department,24
ianziering,24
2011,24
writer,24
armstrong,24
bay,24
protection,24
kentucky,24
further,24
lack,24
october,24
impossible,24
impressive,24
christian,24
jim,24
criminals,24
writing,24
modern,24
lance,24
efforts,24
pga,24
lawrence,24
defund,24
iconic,24
contestants,24
banks,24
inspired,24
hundreds,24
army,24
luther,24
certainly,24
wayne,24
added,24
fema,24
theapprentice,24
wisdom,24
summer,24
critical,23
22,23
cpacnews,23
thebrodyfile,23
ed,23
jacknicklaus,23
provide,23
india,23
kept,23
harvey,23
hagel,23
iranian,23
hispanics,23
manager,23
island,23
shape,23
wharton,23
ripping,23
changes,23
hispanic,23
entertaining,23
director,23
excitement,23
luxurious,23
trumpcollection,23
healthy,23
dealing,23
bin,23
laden,23
cia,23
cancer,23
plenty,23
kevin,23
shoot,23
windmills,23
turns,23
welfare,23
doralresort,23
hbo,23
amenities,23
solid,23
pray,23
opens,23
baseball,23
nro,23
rep,23
tip,23
stunning,23
dmregister,23
vietnam,23
keynote,23
sided,23
accomplished,23
arseniohall,23
enjoying,23
5th,23
comment,23
site,23
smartest,23
guilty,23
train,23
begging,23
amount,23
0,22
average,22
ball,22
bank,22
inspire,22
10pm,22
screen,22
addition,22
gt,22
pa,22
ya,22
fred,22
barbarajwalters,22
joining,22
sources,22
believes,22
classy,22
douglas,22
canadian,22
interested,22
publicity,22
finish,22
respond,22
benefit,22
kyleraccio,22
univision,22
gang,22
achievers,22
break,22
hates,22
everyday,22
forces,22
iacaucus,22
kicked,22
landed,22
landslide,22
traitor,22
hollywood,22
ego,22
gdp,22
continued,22
delivered,22
lake,22
hot,22
responders,22
ticket,22
dennisrodman,22
clip,22
freezing,22
promises,22
noon,22
copy,22
ppl,22
schumer,22
rolling,22
awarded,22
impressed,22
sit,22
missing,22
filed,22
tpp,22
opposite,22
ultimate,22
embarrassed,22
rapidly,22
van,22
arab,22
tmobile,22
citizen,22
considering,22
destruction,22
toure,22
catch,22
heads,22
soft,22
conflict,22
windfarm,22
hired,22
aberdeenshire,22
journal,21
liljon,21
hoping,21
allies,21
70,21
matters,21
ag,21
prosperity,21
lt,21
intelligent,21
infrastructure,21
protesters,21
lifetime,21
jimmy,21
quick,21
restaurants,21
lombardi,21
sweepstweet,21
leverage,21
icon,21
jersey,21
tigerwoods,21
returned,21
count,21
tougher,21
stamina,21
tampa,21
rink,21
ring,21
bloomberg,21
employees,21
anywhere,21
bid,21
natural,21
donlemon,21
labor,21
yeah,21
atrium,21
candidacy,21
criminal,21
sentedcruz,21
alive,21
networks,21
legislation,21
acres,21
solutions,21
jail,21
holding,21
corruption,21
saving,21
tim,21
drugs,21
supertuesday,21
ariannahuff,21
lunch,21
dreams,21
decide,21
wwehof,21
picked,21
seth,21
stern,21
capital,21
pundits,21
achievement,21
opponents,21
date,21
60minutes,21
owned,21
expanding,21
victorious,21
exclusively,21
19,20
21,20
46,20
51,20
suit,20
bs,20
outstanding,20
morgan,20
nc,20
sports,20
yr,20
williams,20
larger,20
decades,20
russians,20
refuse,20
losses,20
cadillac,20
account,20
tank,20
cancelled,20
towers,20
southern,20
cleveland,20
patient,20
growing,20
idol,20
newspaper,20
lines,20
sharp,20
receiving,20
committed,20
mobile,20
apologized,20
jerry,20
armed,20
nowhere,20
thrilled,20
foxnewsinsider,20
rick,20
frankluntz,20
innovation,20
closing,20
scavino45,20
2008,20
birds,20
aid,20
mitch,20
phil,20
roger,20
car,20
roll,20
con,20
govt,20
trump16,20
dailycaller,20
relationship,20
sarasota,20
bosses,20
commercial,20
ways,20
master,20
ill,20
epic,20
teamcavuto,20
furious,20
grateful,20
dirty,20
ineffective,20
wanna,20
renovations,20
taliban,20
gotta,20
willing,20
owe,20
achieve,20
windfarms,20
request,20
percent,20
nafta,20
baltimore,20
passing,20
investments,20
returning,20
desperately,20
accomplish,20
easter,20
afford,20
clock,20
projects,20
8th,20
fixed,20
celebrities,20
fellow,20
character,20
donate,20
herself,20
fackinpeter,19
23,19
opened,19
effect,19
ca,19
jr,19
xi,19
teams,19
challenges,19
properly,19
income,19
everywhere,19
parts,19
stupidity,19
doctor,19
fund,19
germany,19
downtown,19
biden,19
tcot,19
immigrant,19
figure,19
owes,19
bret,19
ignore,19
qualified,19
admitted,19
regulations,19
channel,19
hacking,19
resign,19
difficult,19
pianobecca,19
unable,19
regarding,19
sleepy,19
shirt,19
levels,19
trumppanama,19
endorse,19
pete,19
benjamin,19
mattginellagc,19
bar,19
shots,19
dan,19
treatment,19
fakenews,19
evidence,19
alert,19
extremely,19
hypocrite,19
value,19
jay,19
tenacious,19
cross,19
overseas,19
becomes,19
celeb,19
nov,19
inspirational,19
amazon,19
details,19
period,19
johnlegere,19
qvc,19
imagination,19
rev,19
generation,19
inaccurate,19
responsibility,19
foolish,19
spy,19
cliff,19
200,19
chairman,19
500,19
bahia6085,19
joint,19
flgovscott,19
oprah,19
ship,19
shop,19
jones,19
hire,19
match,19
cards,19
not_that_actor,19
stick,19
segment,19
unemployed,19
jennifer75ar,19
oann,19
eliot,19
primaries,19
trail,19
cahlrstorrie,19
firm,19
christie,19
deep,19
doctors,19
foxnewssunday,19
holidays,18
nashville,18
classic,18
iq,18
bridge,18
trump_charlotte,18
moines,18
british,18
14th,18
wearing,18
approved,18
deserved,18
farms,18
negotiators,18
sexual,18
fatal,18
violence,18
negotiator,18
donations,18
score,18
vice,18
damage,18
spread,18
towards,18
obvious,18
ronmeier123,18
properties,18
architect,18
rates,18
comeback,18
gala,18
brain,18
deficits,18
indeed,18
directly,18
individual,18
human,18
upset,18
nonsense,18
beats,18
tool,18
